lokalita;plocha;pomno;x_m;y_m;popis
40000080,0;1;1,0;-18,66;3,39;
40000080,0;1;2,0;-3,25;6,95;245
40000081,0;1;1,0;-13,9;8,1;Nad cestou
40000081,0;1;2,0;10,28;7,1;
40000082,0;1;1,0;-7,01;-9,65;
40000082,0;1;2,0;2,22;-0,56;Oznaceny kmen
40000083,0;1;1,0;10,18;6,22;
40000083,0;1;2,0;-0,2;-10,92;
40000084,0;1;1,0;-12,02;-0,2;
40000084,0;1;2,0;1,65;-3,77;U oplocenky
40000085,0;1;1,0;22,41;5,38;
40000085,0;1;2,0;-0,89;-3,95;
40000086,0;1;1,0;-14,93;-0,02;
40000086,0;1;2,0;-0,73;13,39;
40000088,0;1;1,0;-4,5;-20,64;
40000088,0;1;2,0;-1,76;-17,04;Pod pesinou
40000089,0;1;1,0;-11,6;-9,63;
40000089,0;1;2,0;7,07;13,13;
40000090,0;1;1,0;12,66;-8,82;
40000090,0;1;2,0;9,52;-11,05;
40000090,0;1;3,0;-0,87;1,39;
40000091,0;1;1,0;-7,2;-24,48;
40000091,0;1;2,0;0,18;-16,85;
40000091,0;1;3,0;-11,18;-10,88;tezba
40000092,0;1;1,0;13,34;-4,72;U cesty
40000092,0;1;2,0;-2,55;-11,14;u cesty
40000094,0;1;1,0;-16,85;-4,24;
40000094,0;1;2,0;-2,84;-11,46;
40000095,0;1;1,0;-5,32;-16,95;
40000095,0;1;2,0;16,06;0,36;
40000097,0;1;1,0;-6,59;-19,18;
40000097,0;1;2,0;-12,61;6,37;
40000100,0;1;1,0;-4,33;-17,56;
40000100,0;1;2,0;7,1;11,97;
40000101,0;1;1,0;-17,04;4,65;Ucesty
40000101,0;1;2,0;-9,7;-0,45;u cesty
40000103,0;1;1,0;27,2;-8,17;U dilce
40000103,0;1;2,0;13,72;-11,23;dvojak
40000103,0;1;3,0;5,07;-3,51;Oznacen navic
40000104,0;1;1,0;1,3;-18,16;U cesty
40000104,0;1;2,0;16,18;2,16;
40000105,0;1;1,0;1,72;-13,26;HB 2m od cesty
40000105,0;1;2,0;-3,13;-4,97;
40000105,0;1;3,0;0,62;0,99;
40000106,0;1;1,0;21,11;-1,8;habr u cesty
40000106,0;1;2,0;-2,71;-9,29;
40000107,0;1;1,0;13,36;2,37;
40000107,0;1;2,0;-4,46;-3,69;Priznacen navic
40000108,0;1;1,0;15,05;0,61;
40000108,0;1;2,0;-2,68;7,76;
40000111,0;1;1,0;10,87;-14,75;
40000111,0;1;2,0;4,98;-17,05;
40000113,0;1;1,0;-7,54;-16,7;
40000113,0;1;2,0;-2,23;1,81;Priznacen misto BO
40000114,0;1;1,0;-24,52;-5,03;u cesty
40000114,0;1;2,0;-3,19;-20,38;U cesty
40000114,0;1;3,0;3,97;-1,33;Oznacen navíc
40000115,0;1;1,0;-7,79;16,51;
40000115,0;1;2,0;15,57;1,3;
40000117,0;1;1,0;16,61;8,86;
40000117,0;1;2,0;1,13;14,6;
40000118,0;1;1,0;14,7;-5,58;
40000118,0;1;2,0;0,88;13,94;
40000119,0;1;1,0;15,37;-11,21;
40000119,0;1;2,0;10,23;13,26;
40000120,0;1;1,0;-13,25;-11,47;
