lokalita;plocha;datum_m;status;prist;stab;azimut_stab;vzd_stab;identifikace;duv_neob;kat_poz;poz_les;meric;pozn_plocha;datum_m_pred;prist_pred;kat_poz_pred;poz_les_pred;nadm_vyska;lt;cil_zasoba;cbp;vyr_doba;mdcel
30000020,0;1;2022-06-13;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-12;100;100;100;328,89;2D9;70,0;5,8;50,0;4,6
30000025,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;parezy odstraneny nektere;2013-07-07;100;100;100;352,73;2B4;70,0;5,8;50,0;4,6
30000026,0;1;2022-05-27;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-12;100;100;100;314,78;2S1;70,0;5,8;50,0;4,6
30000029,0;1;2022-12-28;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-02;100;100;100;346,02;2B4;70,0;5,8;50,0;4,6
30000030,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-02;100;100;100;335,13;2B4;70,0;5,8;50,0;4,6
30000110,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;350,98;2D2;70,0;5,8;50,0;4,6
30000117,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;354,74;2B4;70,0;5,8;50,0;4,6
30000118,0;1;2022-05-27;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-12;100;100;100;314,93;2D5;70,0;5,8;50,0;4,6
30000119,0;1;2022-06-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-12;100;100;100;322,89;2B4;70,0;5,8;50,0;4,6
30000128,0;1;2022-05-27;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-02;100;100;100;313,14;2S6;70,0;5,8;50,0;4,6
30000212,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-19;100;100;100;363,02;2H1;70,0;5,8;50,0;4,6
30000218,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;351,26;2B4;70,0;5,8;50,0;4,6
30000225,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;368,3;2B4;70,0;5,8;50,0;4,6
30000226,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;341,46;2S4;70,0;5,8;50,0;4,6
30000227,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;335,04;2D2;70,0;5,8;50,0;4,6
30000232,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;369,07;2B4;70,0;5,8;50,0;4,3
30000233,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-06-24;100;100;100;357,15;2B4;70,0;5,8;50,0;4,6
30000234,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;345,42;2S4;70,0;5,8;50,0;4,6
30000235,0;1;2022-05-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-19;100;100;100;328,72;2B4;70,0;5,8;50,0;4,6
30000239,0;1;2022-05-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;362,19;2B4;70,0;5,8;50,0;4,6
30000240,0;1;2022-05-27;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;358,46;2B4;70,0;5,8;50,0;4,6
30000241,0;1;2022-06-13;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-23;100;100;100;324,04;2S1;70,0;5,8;50,0;4,6
30000244,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;356,06;2B4;70,0;5,8;50,0;4,6
30000245,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;346,85;2B4;70,0;5,8;50,0;4,6
30000249,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;351,77;2B4;70,0;5,8;50,0;4,6
30000250,0;1;2022-12-28;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;344,0;2B4;70,0;5,8;50,0;4,6
30000254,0;1;2022-05-27;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;338,05;2B4;70,0;5,8;50,0;4,6
30000255,0;1;2022-05-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;330,42;2B4;70,0;5,8;50,0;4,6
40000006,0;1;2022-07-18;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;344,23;3B1;200,0;5,8;50,0;4,6
40000007,0;1;2022-07-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;lipa polykormon 6x v obnove;2013-08-06;100;100;100;323,82;2S3e;200,0;5,8;50,0;4,6
40000010,0;1;2022-06-24;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-09;100;100;100;384,82;2S3e;200,0;5,8;50,0;4,6
40000011,0;1;2022-07-19;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;367,06;3D9;200,0;5,8;50,0;4,6
40000012,0;1;2022-07-18;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;obnova-vrba=mirabelka/spendlik;2013-07-04;100;100;100;388,47;3S1;200,0;5,8;50,0;4,6
40000013,0;1;2022-07-07;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;395,5;3H1;200,0;5,8;50,0;4,6
40000014,0;1;2022-07-08;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;381,51;3B7;200,0;5,8;50,0;4,6
40000015,0;1;2022-07-18;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;365,34;2B1;200,0;5,8;50,0;4,6
40000016,0;1;2022-07-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-18;100;100;100;303,9;2S3e;200,0;5,8;50,0;4,6
40000018,0;1;2022-07-10;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-09;100;100;100;394,62;2S3;200,0;5,8;50,0;4,6
40000019,0;1;2022-07-19;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-04;100;100;100;402,16;3S1;200,0;7,8;50,0;4,6
